SMILES1,SMILES2,cocrystallization
Oc1ccc(O)cc1,c1ccc(C2(c3ccccc3)CC23CCOC3=O)cc1,1
C(c1ccc(-c2ncnc(Oc3cccc4c3nc(NC(=O)C)s4)c2)cc1)(F)(F)F,OC(C(C(O)C(O)C(=O)O)O)C(=O)O,0
c1c(O)ccc([N+]([O-])=O)c1,c1(O)c(C(O)=O)cccc1,0
C(C(O)=O)=CC(O)=O,n1cc(C)[nH]c1,1
N(c1nnc(S(=O)(=O)N)s1)C(=O)C,c12ncn(C)c1c(=O)n(C)c(=O)n2C,0
O=C(O)C(O)=O,Cc1c(C)nc(C)c(C)n1,1
[N+](c1ccc(C(P(c2ccccc2)(=O)c2ccccc2)C(=O)O)cc1)([O-])=O,c1cc([N+]([O-])=O)ccc1O,1
NC1C2SC(C)(C)C(C(=O)O)N2C1=O,OC(=O)C=CC(=O)O,0
Oc1c(C(N)=O)cccc1,O=C(O)CCCCCCC,0
c12c(F)c(F)c(F)c(F)c1c(F)c(F)c(F)c2F,c1cccc2c1cc1cc3c(cc1c2)cccc3,1
c1cccc2c1C(=O)NS2(=O)=O,N(C(C)=O)c1ccc(O)cc1,0
C(c1ccc(F)cc1)(=O)N,C(O)c1cnc(C)c(O)c1CO,0
c1c(O)ccc(C(=O)O)c1,c1cc(O)ccc1O,0
n1ccc(C=Cc2ccncc2)cc1,c1cc(C#CBr)ccc1C#CBr,1
[nH]1c2c(c3ccccc13)CC1C(=O)N(C)CC(=O)N1C2c1cc2c(cc1)OCO2,O=C(CC(O)=O)O,1
c1([N+]([O-])=O)c(O)c([N+](=O)[O-])cc([N+]([O-])=O)c1,c1c(C(=O)O)cccn1,1
C(CCCO)CCCCCCCCCCCC,n1cccc(C#N)c1,0
Cc1[nH]cnc1,C(=CC(O)=O)C(=O)O,1
CCCOc1ccc(C(O)=O)cc1,c1nccc(CCc2ccncc2)c1,1
c1c(O)ccc(O)c1,c1ccc2c(nc3c(cccc3)n2)c1,1
c1c(-c2ccncc2)cccc1,Oc1cccc(O)c1O,1
c1cc2c(cc1)c(OCC(O)CN1CCN(c3c(OC)cccc3)CC1)ccc2,c1(O)ccccc1C(=O)O,1
c1nc2n(C)c(=O)n(C)c(=O)c2[nH]1,Oc1ccc([N+](=O)[O-])cc1,1
[N+](c1cccnc1N)([O-])=O,[O-][N+](=O)c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1
c1c(C(=O)O)c(O)ccc1,N1C(=O)CCC1=O,0
c1ccc2c(c1)cccc2,c1ccc2c3c1cccc3-c1c-2cccc1,0
n1c(N)c([N+](=O)[O-])ccc1,O=C(O)C(O)=O,1
OC(=O)C(O)C(C(=O)O)O,c1(-c2nc(N)sc2)nc(N)sc1,1
C(O)C(C1OC(=O)C(O)=C1O)O,c1(F)ccc(C(N)=O)cc1,0
C(c1ccc(N)cc1)(=O)N,n1(C)c(=O)n(C)c2c(n(C)cn2)c1=O,0
O=C(c1ccccc1C)O,O=c1c2nc3c(n(CC(C(C(CO)O)O)O)c-2nc(=O)[nH]1)cc(C)c(C)c3,0
C(C(C#N)=C(C#N)C#N)#N,c1c2ccc3cccc4ccc(cc1)c2c34,1
N(N)C(c1ccncc1)=O,[N+](=O)(c1ccc(C(=O)O)cc1)[O-],1
c1(NC(=O)Nc2ccc(Oc3ccnc(C(=O)NC)c3)cc2F)ccc(Cl)c(C(F)(F)F)c1,OC(=O)CCCC(O)=O,1
n1cc(-c2c(N)ncc(-c3ccc(S(=O)(=O)C)cc3)c2)ccc1OC,C(CCCCC(O)=O)(O)=O,1
c1c2ccccc2ccc1,C(O)(=O)Cc1ccccc1,0
c1(C(=O)O)ccncc1,c1cc2nc3cc(Nc4ccc(Cl)cc4)c(=NC(C)C)cc-3n(-c3ccc(Cl)cc3)c2cc1,1
C1(C(O)=O)C(C(=O)O)CC(C(O)=O)C(C(=O)O)C1,c1(-c2ccncc2)ccncc1,1
C1(=O)CCC2(CCC3C4C(CCC32C)C2(C)C(=CC(=O)CC2)CC4SC(=O)C)O1,n1cccc(C(N)=O)c1,0
O=C(c1cc(OC)cc(OC)c1)O,C(O)(c1ccc(N)cc1)=O,0
c1cc(C(O)=O)c(O)cc1,c1(OC)cccc(C(=O)O)c1,0
c1ccc(C(=O)O)cc1,c1(C(O)=O)ccc(Cl)cc1,0
